Colombia,Venezuela,Mexico,Argentina
-144.2,146.34,43.75,0.65
-14.75,15.22,9.73,0.36
-41.01,15.7,11.25,0.6
111.52,179.29,29.21,0.74
2332.4,200.99,8.08,0.59
2176.19,194.3,11.54,0.59
1269.05,120.97,7.11,0.36
-32.82,5.81,8.49,0.39
5322.14,1938.02,13.99,0.38
1068.48,226.67,28.16,0.59
-129.01,2.08,5.33,0.43
1260.51,499.99,24.49,0.36
-1274.02,20.98,53.03,0.78
-193.44,30.53,19.99,0.39
-43.1,1.68,1.57,0.59
-158.93,270.98,50,0.77
29.68,4.48,1.22,0.36
-116.76,10.9,7.46,0.59
-160.95,7.99,5.03,0.6
-209.61,21.66,13.99,0.52
-240.83,6.48,8.88,0.37
12.32,35.44,7.5,0.38
-119.08,15.99,13.18,0.37
43.35,11.34,5.01,0.36
545.49,35.44,5.09,0.38
-16.07,30.98,11.63,0.37
161.48,34.54,14.72,0.37
-1059.2,170.98,60.49,0.69
-21.48,20.95,4,0.6
3122.78,207.48,0.99,0.55
-478.22,58.14,36.61,0.61
-14.23,6.64,4.95,0.37
948.79,145.45,17.85,0.56
-6.33,2.21,1.12,0.58
372.36,40.99,17.48,0.36
678.26,243.98,43.32,0.55
155.72,39.98,9.2,0.65
73.53,12.58,5.16,0.43
-1414.41,48.58,54.11,0.69
950.68,105.98,13.99,0.65
-5.41,7.04,2.17,0.38
74.07,9.78,1.99,0.43
77.38,12.22,2.85,0.55
-118.82,43.98,1.99,0.44
6.41,34.76,8.22,0.57
-183.68,55.99,5,0.83
-55.13,6.48,6.57,0.37
58.23,30.56,2.99,0.35
4.45,5.16,0.73,0.56
-3.06,3.68,1.32,0.83
1240.25,355.98,58.92,0.64
-533.23,218.75,69.64,0.77
-1003.58,41.47,34.2,0.73
-4.06,2.78,1.2,0.58
1881.58,155.99,3.9,0.55
-42.38,22.84,16.87,0.39
-120.99,5.78,8.09,0.36
12.88,6.7,1.56,0.52
-2816.34,1360.14,14.7,0.59
-541.87,270.98,50,0.77
-158.87,20.97,6.5,0.78
-97.28,22.84,16.87,0.39
-80.83,180.98,26.2,0.59
-514.32,130.98,30,0.78
-131.82,4.28,5.17,0.4
-65.42,28.28,13.99,0.58
-250.17,55.99,5,0.8
15.73,3.8,1.49,0.38
-92.58,30.73,4,0.75
1465.87,125.99,8.08,0.57
18.23,20.99,0.99,0.37
10951.31,1270.99,19.99,0.35
-18.19,11.97,4.98,0.58
-31.45,12.28,6.13,0.57
304.42,39.24,1.99,0.51
-53.08,17.98,8.51,0.4
12.76,12.95,4.98,0.4
-46.25,1.68,1.57,0.59
-190.41,25.98,14.36,0.6
174.89,10.31,1.79,0.38
72.51,59.78,10.29,0.39
-76.86,20.99,1.25,0.83
-30.54,1.68,1.57,0.59
23.82,7.08,2.35,0.47
7416.43,574.74,24.49,0.37
54.92,36.55,13.89,0.41
366.51,55.99,3.3,0.59
135.79,51.75,19.99,0.55
103.38,55.29,5.08,0.59
-79.72,9.65,6.22,0.55
-92.96,20.99,3.3,0.81
-162.37,7.99,5.03,0.6
7.27,7.64,1.39,0.36
-11.8,8.85,5.6,0.36
-50.82,6.48,6.81,0.36
17.99,2.88,0.99,0.36
-11053.6,880.98,44.55,0.62
636.18,200.97,15.59,0.36
135.65,20.89,1.99,0.48
-13.95,11.58,6.97,0.35
66.17,4.13,0.5,0.39
-0.95,2.78,1.34,0.45
-35.34,14.48,1.99,0.49
399.93,99.99,19.99,0.5
-8.15,4.98,4.86,0.38
7.07,21.98,8.32,0.39
1459.79,195.99,3.99,0.59
1951.3,200.97,15.59,0.36
51.9,40.97,14.45,0.57
1418.36,349.45,60,0.39
121.48,80.97,33.6,0.37
176.67,216.6,64.2,0.59
753.61,140.81,24.49,0.57
75.3,22.72,8.99,0.44
-65.18,19.98,10.49,0.49
-3755.03,1500.97,29.7,0.57
28.99,20.95,4,0.6
185.32,23.99,6.71,0.35
-42.99,24.92,12.98,0.39
-59.2,39.48,1.99,0.54
108.01,38.76,13.26,0.36
19.86,2.47,1.02,0.38
-127.39,33.94,19.19,0.58
22.46,8.33,1.99,0.52
81.71,18.97,9.03,0.37
-549.27,150.98,66.27,0.65
-4.19,140.81,24.49,0.57
52.02,22.84,5.47,0.39
63.83,34.76,5.49,0.6
8.78,2.88,0.5,0.39
1215.44,205.99,5.26,0.56
-44.07,5.4,7.78,0.37
-100.51,8.46,8.99,0.79
-17.75,14.98,8.99,0.39
1374.95,155.99,8.08,0.6
-12.95,25.38,8.99,0.5
-154.66,10.97,6.5,0.64
-127.56,99.99,19.99,0.52
282.18,193.17,19.99,0.71
-96.34,20.99,3.3,0.81
44.54,19.99,11.17,0.6
2509.52,150.98,13.99,0.38
1166.93,370.98,99,0.65
297.11,179.99,13.99,0.57
65.41,6.74,1.72,0.35
-46.98,10.89,4.5,0.59
-46.89,6.48,6.6,0.37
-105.14,223.98,15.01,0.38
-393.96,140.98,36.09,0.77
-23.24,54.96,10.75,0.36
-24.86,1.26,0.7,0.81
-95.92,4.98,6.07,0.36
89.56,18.99,5.23,0.37
520.69,46.89,5.1,0.46
38.23,12.98,3.14,0.6
-12.8,10.91,2.99,0.38
-46.03,4.98,4.75,0.36
-517.47,415.88,11.37,0.57
4.39,65.99,5.92,0.55
822.4,115.99,2.5,0.57
-56.12,5.02,5.14,0.79
24.6,19.84,4.1,0.44
54.46,6.75,2.99,0.35
-106.4,5.74,5.01,0.39
2699.67,270.97,28.06,0.56
1292.44,260.98,41.91,0.59
8793.54,387.99,19.99,0.38
813.83,160.98,35.02,0.72
5.58,3.08,0.99,0.37
6907.61,499.99,24.49,0.36
-942.5,138.14,35,0.39
261.24,41.94,2.99,0.35
183.53,7.31,0.49,0.38
470.83,65.99,3.9,0.55
-29.02,7.64,5.83,0.36
109.88,40.97,14.45,0.57
801.72,299.05,87.01,0.57
-328.36,291.73,48.8,0.56
-112.44,30.42,8.65,0.74
-539.59,415.88,11.37,0.57
-27.31,19.94,14.87,0.57
-32.65,3.68,1.32,0.83
-12.25,11.97,4.98,0.58
-21.1,29.74,6.64,0.7
-235.56,95.43,19.99,0.79
900.06,300.65,24.49,0.52
455.37,45.19,1.99,0.55
147.45,28.53,1.49,0.38
23.48,5.68,1.46,0.39
-328.18,15.51,17.78,0.59
-282.61,5.81,8.49,0.39
5.53,1.81,0.75,0.52
-10.25,6.68,6.93,0.37
37.33,3.93,0.99,0.39
44.37,150.98,13.99,0.38
-0.12,1.76,0.7,0.56
1280.19,177.98,0.99,0.56
-28.34,20.24,8.99,0.46
-996.67,150.98,66.27,0.65
-70.97,20.99,0.99,0.37
221.18,65.99,5.26,0.56
11.94,5.18,2.04,0.36
47.3,17.24,3.26,0.56
-17.68,2.6,2.4,0.58
-30.48,14.97,7.51,0.57
-131.48,60.98,1.99,0.5
56.26,29.74,6.64,0.7
-8.47,12.21,4.81,0.58
106.53,29.14,4.86,0.38
-44.92,11.5,7.19,0.4
-35.08,15.7,11.25,0.6
965.48,225.02,28.66,0.72
11.34,9.27,4.39,0.38
-32.48,6.84,8.37,0.58
-173.15,4.98,4.62,0.64
-119.02,32.98,5.5,0.75
5353.19,500.97,69.3,0.37
9.47,2.61,0.5,0.39
73.18,7.31,0.49,0.38
-83.95,20.99,2.5,0.81
-5.92,5.34,2.99,0.38
-257.11,4.06,6.89,0.6
192.33,99.99,19.99,0.52
1.91,11.58,6.97,0.35
-22.28,3.36,6.27,0.4
2808.22,699.99,24.49,0.41
-7.06,4.71,0.7,0.85
33.5,5.84,1.2,0.55
-998.94,218.75,69.64,0.77
-144.27,15.98,8.99,0.64
-78.36,22.38,15.1,0.38
51.82,12.95,4.98,0.4
-413.33,155.99,8.99,0.55
381.17,35.99,3.3,0.39
218.72,99.99,19.99,0.5
-743.96,48.91,35,0.83
71.56,3.78,0.71,0.39
-99.55,26.31,5.89,0.75
-70.68,20.95,5.99,0.65
98.32,55.98,13.88,0.36
-599.54,80.98,35,0.81
-36.78,12.21,4.81,0.58
-49.31,13.9,7.59,0.56
-98.31,55.5,52.2,0.72
-119.84,5.28,5.66,0.4
-98.05,296.18,54.12,0.76
-1.33,92.23,39.61,0.67
8417.57,1270.99,19.99,0.35
-1975.26,122.99,70.2,0.74
168,18.99,5.23,0.37
2113.95,218.08,18.06,0.57
66.97,20.24,6.67,0.49
6.37,2.18,0.78,0.52
-62.73,4.98,4.62,0.64
-147.36,65.99,8.99,0.58
519.25,65.99,5.31,0.57
149.83,50.98,14.19,0.56
-219.38,124.49,51.94,0.63
-86.2,22.38,15.1,0.38
202.87,63.94,14.48,0.46
-12.16,4.13,5.04,0.38
-1775.83,122.99,70.2,0.74
-48.88,7.1,6.05,0.39
-34.09,21.38,8.99,0.59
42.27,35.99,0.99,0.35
822.89,85.99,1.25,0.39
-45.1,30.73,4,0.75
-56.06,15.7,11.25,0.6
-18.25,11.5,7.19,0.4
-2088.68,4.48,49,0.6
-12.82,67.84,0.99,0.58
2795.36,276.2,24.49,0.39
298.48,85.99,2.5,0.35
2155.41,200.98,23.76,0.58
-10.3,65.99,5.31,0.57
232.44,896.99,19.99,0.38
-21.85,15.01,8.4,0.39
-145.78,20.97,6.5,0.78
-3.96,10.01,1.99,0.41
-33.69,6.68,5.2,0.37
10.68,9.77,6.02,0.48
171.26,76.72,19.95,0.54
752.37,59.98,3.99,0.57
337.04,65.99,8.99,0.58
158.98,23.99,6.71,0.35
2969.81,162.93,19.99,0.39
240.41,10.94,1.39,0.35
393.41,40.98,2.99,0.36
-43.75,5.99,4.92,0.38
83.84,65.99,8.99,0.58
-144.76,4.57,5.42,0.37
155.69,10.67,1.39,0.39
5386.32,442.14,14.7,0.56
-37.39,1.74,4.08,0.53
-232.99,55.99,5,0.83
-246.3,33.98,19.99,0.55
1864.66,200.99,4.2,0.59
-183.6,135.99,28.63,0.76
1026.07,63.94,14.48,0.46
1765.48,140.99,13.99,0.37
319.1,20.99,0.99,0.37
162.83,39.24,1.99,0.51
-30.92,7.64,5.83,0.36
181.53,54.74,14.83,0.54
103.16,6.3,0.5,0.39
-3.64,2.84,0.93,0.54
-166.92,3.58,5.47,0.37
-1.22,5.85,2.27,0.56
21.62,3.29,1.35,0.4
20.27,10.98,3.37,0.57
-188.53,8.45,7.77,0.55
-17.38,5.89,5.57,0.41
24.06,4.91,0.5,0.36
63.46,15.94,5.45,0.55
-39.92,22.84,16.87,0.39
4938.78,204.1,13.99,0.37
-37.06,98.31,0.49,0.36
-807.89,60.98,49,0.59
-280.28,145.45,17.85,0.56
-7.26,12.28,6.13,0.57
630.28,107.53,5.81,0.65
14.49,2.89,0.5,0.38
-27.53,20.98,8.83,0.37
-355.94,100.8,60,0.59
1443.35,120.98,9.07,0.35
-138.82,16.98,12.39,0.35
27.86,12.98,3.14,0.6
-58.34,7.99,5.03,0.6
2763.13,195.99,8.99,0.58
-192.92,136.98,24.49,0.59
-488.31,125.99,5.63,0.6
-343.47,115.99,56.14,0.4
-1129.96,32.48,35,0.81
-803.52,182.55,69,0.72
10.51,2.88,0.5,0.39
6.04,2.94,0.96,0.58
-37.52,12.28,6.13,0.57
5626.42,349.45,60,0.6
-188.58,120.97,26.3,0.38
204.74,21.98,2.87,0.55
-90.14,15.99,9.4,0.49
-6.53,2.78,1.25,0.59
7.34,6.47,1.22,0.4
19.68,3.93,0.99,0.39
828.27,136.98,24.49,0.59
56.44,4.13,0.99,0.39
-243.24,5.81,8.49,0.39
-53.62,9.65,6.22,0.55
-213.32,58.14,36.61,0.61
1411.03,110.99,2.5,0.57
258.01,279.81,23.19,0.59
328,78.65,13.99,0.52
299.59,35.44,4.92,0.38
-85.91,11.66,8.99,0.59
-6.38,10.48,2.89,0.6
-61.59,6.28,5.41,0.53
115.54,22.98,1.99,0.46
-165.6,300.98,64.73,0.56
542.16,155.06,7.07,0.59
-204.65,55.94,6.55,0.68
16.65,5.28,2.99,0.37
39.29,7.59,4,0.42
-104.96,5.98,4.69,0.68
-5572.39,2550.14,29.7,0.57
171.82,55.48,14.3,0.37
-71.03,28.99,8.59,0.56
101.13,4.91,0.5,0.36
-202.58,259.71,66.67,0.61
584.15,59.78,10.29,0.39
85.81,4.13,0.5,0.39
-8.42,30.98,17.08,0.4
-56.45,7.38,5.21,0.56
257.32,26.38,5.86,0.39
-119.62,2.16,6.05,0.37
278.12,50.98,13.66,0.58
-4.43,2.08,5.33,0.43
-206.46,6.48,9.54,0.37
-76.11,64.98,6.88,0.73
268.32,19.23,6.15,0.44
673.77,300.98,64.73,0.56
2608.72,500.98,26,0.6
171.59,45.19,1.99,0.55
-41.87,11.97,5.81,0.6
32.87,4.55,1.49,0.35
19.2,28.48,1.99,0.4
-93.93,4.14,6.6,0.49
21.92,12.53,0.5,0.38
7.45,5.85,2.27,0.56
-945.56,280.98,81.98,0.78
2109.21,177.98,0.99,0.56
11.46,50.98,14.19,0.56
367.12,48.04,7.23,0.37
37.73,2.61,0.5,0.39
-110.93,15.99,9.4,0.49
-196.06,8.04,8.94,0.4
-52.92,2.23,4.57,0.41
89.45,12.95,4.98,0.4
4.15,115.99,56.14,0.4
324.93,65.99,8.99,0.56
20.21,15.98,4,0.37
-120.45,140.85,19.99,0.73
28.71,4.28,0.94,0.56
112.36,56.96,13.22,0.56
-232.24,279.48,35,0.8
2665.4,165.98,19.99,0.4
21.42,3.08,0.5,0.37
1467.82,128.24,12.65,0.37
44.1,10.98,4.8,0.36
191.29,29.89,1.99,0.5
-580.32,40.48,19.99,0.77
458.98,35.99,0.99,0.35
-86.68,180.98,55.24,0.57
-382.38,150.98,66.27,0.65
-149.09,3.81,5.44,0.36
-68.98,11.5,7.19,0.4
-14.31,22.99,8.99,0.57
-162.24,11.66,7.95,0.58
-175.13,12.88,4.59,0.82
-27.26,15.28,10.91,0.36
3030.16,300.98,54.92,0.55
354.96,65.99,5.99,0.58
112.35,4.91,0.5,0.36
-19.32,27.75,19.99,0.67
569.57,110.98,13.99,0.69
-119.66,2.18,5,0.81
-690.21,699.99,24.49,0.41
424.14,110.99,8.99,0.57
26.09,3.38,0.85,0.48
119.64,8.74,1.39,0.38
-4.61,2.78,1.49,0.39
-49.6,4.14,6.6,0.49
-77.18,6.48,7.86,0.37
-50.88,3.28,3.97,0.56
186.64,9.78,1.39,0.39
-66.35,3.28,3.97,0.56
82.59,12.95,4.98,0.4
-17.37,24.92,12.98,0.39
1166.4,83.1,6.13,0.45
-1396.22,90.98,56.2,0.74
-21.41,6.48,5.16,0.37
167.37,39.99,10.25,0.55
636.2,300.98,64.73,0.56
-1163.21,20.98,45,0.61
-193.48,5.98,7.5,0.4
-34.98,5.28,6.26,0.4
26.27,18.97,9.54,0.37
-11.4,65.99,3.99,0.59
-115.54,4.82,5.72,0.47
176.87,125.99,8.08,0.57
-103.65,5.78,5.67,0.36
-443.78,140.98,36.09,0.77
-1086.43,122.99,70.2,0.74
64.01,5.43,0.95,0.36
425.08,28.48,1.99,0.4
2437.17,363.25,19.99,0.57
12.58,2.88,0.7,0.56
-3.68,49.99,19.99,0.41
-19.33,19.99,11.17,0.6
54.9,40.98,7.47,0.37
20.08,10.64,5.16,0.57
5.81,2.78,1.34,0.45
-43.36,5.98,5.2,0.36
270.69,23.99,6.3,0.38
-296.37,65.99,8.99,0.58
-1011.32,499.99,24.49,0.36
-144.43,100.98,26.22,0.6
122.41,51.65,18.45,0.65
391.6,28.53,1.49,0.38
26.94,99.99,19.99,0.5
-27.34,21.38,8.99,0.59
715.18,348.21,84.84,0.66
-678.63,60.98,49,0.59
40.32,290.98,69,0.67
-77.89,30.98,6.5,0.64
161.13,10.06,2.06,0.39
122.21,14.2,5.3,0.46
82.04,65.99,5.26,0.56
-79.35,5.98,7.5,0.4
751.38,65.99,5.92,0.55
-704.66,549.99,49,0.35
-564.74,68.81,60,0.41
-57.99,5.18,5.74,0.36
580.15,420.98,19.99,0.35
330.63,29.18,8.55,0.42
13.84,6.68,1.5,0.48
3506.24,225.04,11.79,0.42
4.34,2.84,0.93,0.54
-1048.25,31.76,45.51,0.65
-31.83,6.28,5.29,0.43
439.77,39.48,1.99,0.54
12,3.7,1.61,0.44
-48.2,11.29,5.03,0.59
2342.21,195.99,4.2,0.6
170.08,172.99,19.99,0.39
73.19,30.98,5.76,0.4
80.92,19.98,8.68,0.37
575.33,125.99,7.69,0.58
1151.69,238.4,24.49,0.37
983.55,199.99,24.49,0.46
78.96,5.68,1.39,0.38
35.09,19.98,10.49,0.49
415.55,90.97,28,0.38
0.78,1.48,0.7,0.37
433.63,180.98,55.24,0.57
650.56,60.22,3.5,0.57
340.88,199.99,24.49,0.46
-7.39,12.22,2.85,0.55
5.66,5.98,2.5,0.36
42.34,5.84,1.2,0.55
-99.76,4.91,4.97,0.38
-3061.82,3499.99,24.49,0.37
-0.01,5.84,1.2,0.55
-1430.45,550.98,147.12,0.8
523.43,45.19,1.99,0.55
-19.44,45.99,4.99,0.56
-82.83,8.12,2.83,0.77
25.04,51.65,18.45,0.65
-7.51,6.68,1.5,0.48
930.99,175.99,8.99,0.57
-234.79,499.99,24.49,0.36
-10.74,22.23,3.63,0.52
26.66,4.84,0.71,0.52
-30.72,20.15,8.99,0.58
-62.43,6.48,5.19,0.37
-269.91,3.52,6.83,0.38
469.28,67.28,19.99,0.4
7.15,2.89,0.49,0.38
126.03,41.32,8.66,0.76
29.62,8.95,2.01,0.39
-22.12,13.79,8.78,0.43
250.47,100.98,7.18,0.4
-94.79,6.48,7.49,0.37
51.3,100.98,7.18,0.4
-734.33,599.99,24.49,0.44
-13.27,2.6,2.4,0.58
274.9,20.98,1.49,0.35
-141.76,3.48,49,0.59
-20.27,3.69,2.5,0.39
-123.87,4.28,5.74,0.4
3049.45,420.98,19.99,0.35
221.81,26.48,6.93,0.49
26.11,5.68,1.39,0.38
-8.08,15.01,8.4,0.39
-326.97,40.48,19.99,0.77
-6.68,12.28,6.13,0.57
-5.53,8.85,5.6,0.36
-157.63,110.98,30,0.71
1037.55,104.85,4.65,0.37
133.3,50.98,14.19,0.56
68.44,14.58,7.4,0.48
256.66,45.98,4.8,0.68
11.55,19.98,4,0.68
-168.95,10.97,6.5,0.64
32.19,10.98,5.14,0.36
30.48,14.27,7.27,0.38
-54.58,9.49,5.76,0.39
1061.61,216.6,64.2,0.59
326.43,22.23,5.08,0.41
557.6,55.99,1.25,0.55
475.26,29.89,1.99,0.5
-6.71,8.34,4.82,0.4
-189.35,124.49,51.94,0.63
267.64,19.98,5.97,0.38
-124.25,8.75,8.54,0.43
-8.38,5.85,2.27,0.56
15.27,3.8,1.49,0.38
57.31,7.98,1.25,0.35
-575.35,417.4,75.23,0.79
-22.45,7.28,11.15,0.37
-125.36,5.53,6.98,0.39
-9.45,10.68,13.04,0.6
631.99,110.98,13.99,0.69
1581.93,105.98,13.99,0.65
-120.08,6.68,6.93,0.37
58.08,46.89,5.1,0.46
695.06,125.99,3,0.59
630.7,195.99,8.99,0.6
279.74,15.74,1.39,0.4
2549.4,195.99,3.99,0.59
-45.82,24.92,12.98,0.39
-172.48,270.97,28.06,0.56
30.63,12.28,6.35,0.38
501.51,442.14,14.7,0.56
-88.75,70.98,26.74,0.6
905.57,210.55,9.99,0.6
-367,182.55,69,0.72
-130.88,32.98,5.5,0.75
578.14,40.98,7.47,0.37
-634.87,417.4,75.23,0.79
-160.68,35.99,5,0.82
-97.54,19.99,11.17,0.6
-87.27,6.68,6.92,0.37
85.29,85.29,60,0.56
-39.96,4.13,5.34,0.38
-4.01,40.89,18.98,0.57
163.78,40.98,5.33,0.57
217.06,22.23,3.63,0.52
-253.11,14.81,13.32,0.43
-1207.18,95.95,74.35,0.57
1261.44,300.98,64.73,0.56
536.87,37.94,5.08,0.38
610.9,161.55,19.99,0.66
149.64,80.98,7.18,0.48
-32.42,13.99,7.51,0.39
1.06,15.04,1.97,0.39
-34.79,140.85,19.99,0.73
-80.05,4.37,5.15,0.59
-89.42,4.98,4.95,0.37
-311.05,55.99,5,0.83
481.7,65.99,4.99,0.57
-33.03,13.99,7.51,0.39
-1195.29,20.34,35,0.84
1380.32,155.99,3.9,0.55
-628.38,48.91,35,0.83
-210.14,100.89,42,0.61
-8.24,3.69,2.5,0.39
479.95,35.99,1.25,0.57
65.82,30.98,17.08,0.4
3277.57,348.21,40.19,0.62
-103.27,6.48,5.9,0.37
-635.65,280.98,57,0.78
-214.39,9.99,11.59,0.4
-19.68,15.01,8.4,0.39
-287.28,6.84,8.37,0.58
-62.84,3.14,1.92,0.84
2093.7,99.23,8.99,0.35
-434.56,85.99,0.99,0.85
1009.38,226.67,28.16,0.59
43.72,30.98,6.5,0.64
102.58,8.01,2.87,0.4
-67.79,4.98,5.02,0.38
70.8,14.98,8.99,0.39
-160.46,100.98,35.84,0.62
7.69,14.34,5,0.49
717.12,83.1,6.13,0.45
741.27,37.94,5.08,0.38
-66.05,6.48,5.74,0.37
60.72,9.11,2.25,0.52
48.99,155.99,8.99,0.58
489.02,193.17,19.99,0.71
109.33,34.58,8.99,0.56
-211.13,15.7,11.25,0.6
-28.46,28.48,1.99,0.4
-60.39,205.99,5.99,0.59
-7.61,9.27,4.39,0.38
205.83,90.98,30,0.61
52.53,20.98,5.42,0.66
271.87,39.48,1.99,0.54
4.58,2.61,0.5,0.39
177.66,64.98,6.88,0.73
734.75,40.98,1.99,0.44
-109.1,15.14,4.53,0.81
195.16,131.12,0.99,0.55
1196.37,200.99,4.2,0.59
-379.29,499.99,24.49,0.36
78.86,17.78,5.03,0.54
-912.08,70.71,37.58,0.78
-261.61,376.13,85.63,0.74
14.49,4.76,0.88,0.39
88.72,39.48,1.99,0.54
17.05,4.91,0.5,0.36
552.97,180.98,23.58,0.74
-270,150.98,30,0.74
-43.21,4.77,2.39,0.72
-108.28,14.03,9.37,0.56
-73.14,5.4,7.78,0.37
-73.66,7.28,3.52,0.68
9.59,2.88,1.01,0.55
-655.42,195.99,3.99,0.58
-12.38,5.78,4.96,0.36
-95.54,28.48,8.99,0.7
-69.91,3.57,4.17,0.59
2369.84,200.99,4.2,0.59
-457.16,195.99,8.99,0.58
-517.17,52.99,19.99,0.81
-429.86,100.98,57.38,0.78
365.42,85.99,0.99,0.55
-14.1,1.26,0.7,0.81
-63.72,4.98,4.75,0.36
14.35,66.99,13.99,0.6
-10.73,6.54,5.27,0.36
3051.62,155.06,7.07,0.59
-7.73,2.08,1.49,0.36
-187.75,160.98,30,0.62
-33.82,11.29,5.03,0.59
319.52,29.89,1.99,0.5
-13.95,1.68,1.57,0.59
-136.2,28.28,13.99,0.58
-88.61,3.89,7.01,0.37
-70.04,15.31,8.78,0.57
27.22,7.59,4,0.42
46.41,5.98,0.96,0.6
-8.02,2.08,2.56,0.55
-47.12,5.98,5.46,0.36
218.73,45.99,2.5,0.56
-183.36,3.58,5.47,0.37
-129.53,100.98,35.84,0.62
-72.28,5.78,7.96,0.36
115.21,14.34,5,0.49
6.84,3.69,2.5,0.39
-18.34,4.91,4.97,0.38
-27.92,12.44,6.27,0.57
-164.46,65.99,2.5,0.55
935.8,297.64,14.7,0.57
-4.49,6.75,2.99,0.35
-101.25,7.1,6.05,0.39
-1.88,20.95,4,0.6
339.75,39.06,10.55,0.37
-57.75,3.52,6.83,0.38
-47.97,15.51,17.78,0.59
24.56,20.99,4.81,0.58
38.02,14.58,7.4,0.48
29.21,8.33,1.99,0.52
418.19,48.91,5.81,0.38
-191.49,6.48,7.49,0.37
-21.2,18.97,9.03,0.37
39.63,5.98,2.5,0.36
26.21,10.4,5.4,0.51
-43.96,27.48,4,0.75
51.36,17.67,8.99,0.47
25.95,8.34,4.82,0.4
884.91,205.99,3,0.58
-175.86,3.34,7.49,0.54
-15.44,6.48,5.19,0.37
650.73,78.65,13.99,0.52
-43.5,6.48,9.68,0.36
-131.31,243.98,43.32,0.55
16.23,52.71,2.5,0.36
267.16,41.71,4.5,0.56
590.77,60.98,19.99,0.38
-2.31,10.98,3.37,0.57
1243.17,279.81,23.19,0.59
1325.82,85.99,3.3,0.37
-133.68,4.28,5.17,0.4
1176.48,175.99,4.99,0.59
1265.82,90.97,14,0.36
394.45,65.99,3.99,0.59
709.33,30.44,1.49,0.37
2.82,6.75,2.99,0.35
-116.45,10.97,6.5,0.64
-11.69,10.64,5.16,0.57
-94.76,4.06,6.89,0.6
5.02,8.85,5.6,0.36
39.9,3.15,0.5,0.37
